# dx dy dz dw dx dy dz ref_color ref_depth loc_color loc_depth 
0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 office1-2/color/1560000122.942086.png office1-2/aligned_depth/1560000122.942080.png office1-2/color/1560000122.942086.png office1-2/aligned_depth/1560000122.942080.png
0.035354 0.004405 -0.000357 0.999232 0.000178 -0.002350 0.039107 office1-2/color/1560000122.942086.png office1-2/aligned_depth/1560000122.942080.png office1-2/color/1560000123.275529.png office1-2/aligned_depth/1560000123.275523.png
0.079171 0.013635 -0.000242 0.996563 0.000705 -0.002956 0.082780 office1-2/color/1560000122.942086.png office1-2/aligned_depth/1560000122.942080.png office1-2/color/1560000123.608972.png office1-2/aligned_depth/1560000123.608966.png
0.136091 0.023629 -0.000625 0.996506 0.000505 -0.004313 0.083410 office1-2/color/1560000122.942086.png office1-2/aligned_depth/1560000122.942080.png office1-2/color/1560000123.941644.png office1-2/aligned_depth/1560000123.941639.png
0.146566 0.026158 -0.000735 0.996891 0.000420 -0.003713 0.078705 office1-2/color/1560000122.942086.png office1-2/aligned_depth/1560000122.942080.png office1-2/color/1560000124.275038.png office1-2/aligned_depth/1560000124.275033.png
0.137601 0.027596 -0.000261 0.993998 0.000599 -0.002491 0.109372 office1-2/color/1560000122.942086.png office1-2/aligned_depth/1560000122.942080.png office1-2/color/1560000124.608433.png office1-2/aligned_depth/1560000124.608427.png
0.000000 0.000000 -0.000000 1.000000 0.000000 0.000000 0.000000 office1-2/color/1560000122.975430.png office1-2/aligned_depth/1560000122.975424.png office1-2/color/1560000122.975430.png office1-2/aligned_depth/1560000122.975424.png
0.036541 0.004375 -0.000414 0.999186 0.000125 -0.002377 0.040269 office1-2/color/1560000122.975430.png office1-2/aligned_depth/1560000122.975424.png office1-2/color/1560000123.308873.png office1-2/aligned_depth/1560000123.308867.png
0.082309 0.013768 -0.000403 0.996708 0.000710 -0.003157 0.081012 office1-2/color/1560000122.975430.png office1-2/aligned_depth/1560000122.975424.png office1-2/color/1560000123.642316.png office1-2/aligned_depth/1560000123.642310.png
0.137104 0.023183 -0.000487 0.996807 0.000541 -0.003213 0.079785 office1-2/color/1560000122.975430.png office1-2/aligned_depth/1560000122.975424.png office1-2/color/1560000123.974984.png office1-2/aligned_depth/1560000123.974978.png
